rgb,depth,mask,type,physical_id,placement_id,frame,occupancy,t,area_mm2,length_mm,width_mm,elongation,max_height_mm,mean_height_mm,p90_height_mm,height_std_mm,volume_mm3,invalid_depth_frac
needle\sim_needle_001\sim_needle_001_p003\rgb_01.png,needle\sim_needle_001\sim_needle_001_p003\depth_01.png,needle\sim_needle_001\sim_needle_001_p003\mask.png,needle,sim_needle_001,sim_needle_001_p003,1,ONE,1790365453.982,65.25,42.84,6.9282,6.1834,7.136,3.4195,5.7149,2.1312,203.2492,0.0048
needle\sim_needle_002\sim_needle_002_p003\rgb_00.png,needle\sim_needle_002\sim_needle_002_p003\depth_00.png,needle\sim_needle_002\sim_needle_002_p003\mask.png,needle,sim_needle_002,sim_needle_002_p003,0,ONE,1790365454.273,62.0,42.5666,5.3304,7.9856,6.7517,3.5372,5.6479,2.0539,204.4923,0.004
needle\sim_needle_002\sim_needle_002_p003\rgb_01.png,needle\sim_needle_002\sim_needle_002_p003\depth_01.png,needle\sim_needle_002\sim_needle_002_p003\mask.png,needle,sim_needle_002,sim_needle_002_p003,1,ONE,1790365454.479,60.875,42.5666,5.3304,7.9856,7.287,3.5633,5.6685,2.0237,204.4456,0.0031
needle\sim_needle_003\sim_needle_003_p003\rgb_00.png,needle\sim_needle_003\sim_needle_003_p003\depth_00.png,needle\sim_needle_003\sim_needle_003_p003\mask.png,needle,sim_needle_003,sim_needle_003_p003,0,ONE,1790365454.767,64.4375,42.9339,5.2809,8.13,6.8418,3.4133,5.6181,2.079,197.3321,0.0058
needle\sim_needle_003\sim_needle_003_p003\rgb_01.png,needle\sim_needle_003\sim_needle_003_p003\depth_01.png,needle\sim_needle_003\sim_needle_003_p003\mask.png,needle,sim_needle_003,sim_needle_003_p003,1,ONE,1790365454.97,61.5625,42.5389,6.5521,6.4924,6.7351,3.5032,5.7017,2.0789,200.3365,0.0041
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p003\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p003\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p003\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_000,sim_syringe_with_fixed_needle_000_p003,0,ONE,1790365455.282,918.0,114.0251,12.9736,8.789,14.4918,10.9478,12.7458,2.5245,9896.8145,0.0009
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p003\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p003\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p003\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_000,sim_syringe_with_fixed_needle_000_p003,1,ONE,1790365455.494,920.375,114.1261,13.4958,8.4564,14.6385,10.9281,12.7422,2.5772,9895.3848,0.0017
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p002\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p002\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p002\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_001,sim_syringe_with_fixed_needle_001_p002,0,ONE,1790365455.788,918.625,114.1284,13.0868,8.7209,14.4828,10.9309,12.7281,2.554,9881.5371,0.0012
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p002\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p002\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p002\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_001,sim_syringe_with_fixed_needle_001_p002,1,ONE,1790365456.004,920.0625,114.0922,13.5944,8.3926,14.7837,10.9223,12.7538,2.5696,9882.6592,0.001
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p002\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p002\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p002\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_002,sim_syringe_with_fixed_needle_002_p002,0,ONE,1790365456.282,920.25,114.2903,13.3727,8.5466,14.5634,10.9079,12.7324,2.6036,9892.7461,0.001
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p002\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p002\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p002\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_002,sim_syringe_with_fixed_needle_002_p002,1,ONE,1790365456.497,918.0,114.4564,12.6459,9.0508,14.4587,10.9242,12.7348,2.559,9882.2852,0.0016
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p002\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p002\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p002\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_003,sim_syringe_with_fixed_needle_003_p002,0,ONE,1790365456.806,923.0,114.0615,13.583,8.3974,14.4247,10.9512,12.7502,2.5387,9959.4043,0.0008
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p002\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p002\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p002\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_003,sim_syringe_with_fixed_needle_003_p002,1,ONE,1790365456.993,922.5,114.089,14.3532,7.9487,14.6931,10.9506,12.7232,2.5092,9945.8945,0.0009
scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p002\rgb_00.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p002\depth_00.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p002\mask.png,scalpel_blade,sim_scalpel_blade_000,sim_scalpel_blade_000_p002,0,ONE,1790365457.308,621.1875,58.2876,11.535,5.0531,7.0312,4.9291,5.8281,0.8003,412.1942,0.8571
scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p002\rgb_01.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p002\depth_01.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p002\mask.png,scalpel_blade,sim_scalpel_blade_000,sim_scalpel_blade_000_p002,1,ONE,1790365457.502,622.4375,59.3606,11.9449,4.9695,7.489,4.9192,5.8015,0.8611,413.8307,0.8555
scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p002\rgb_00.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p002\depth_00.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p002\mask.png,scalpel_blade,sim_scalpel_blade_001,sim_scalpel_blade_001_p002,0,ONE,1790365457.815,620.25,58.2188,12.2791,4.7413,6.8704,4.91,5.8383,0.9309,405.6893,0.8574
scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p002\rgb_01.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p002\depth_01.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p002\mask.png,scalpel_blade,sim_scalpel_blade_001,sim_scalpel_blade_001_p002,1,ONE,1790365458.03,618.5625,58.2098,11.3601,5.1241,7.5269,4.9588,5.7984,0.8007,406.3119,0.8595
scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p002\rgb_00.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p002\depth_00.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p002\mask.png,scalpel_blade,sim_scalpel_blade_002,sim_scalpel_blade_002_p002,0,ONE,1790365458.332,620.75,58.5432,12.5704,4.6572,7.3523,4.9047,5.8317,0.9448,409.5388,0.8526
scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p002\rgb_01.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p002\depth_01.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p002\mask.png,scalpel_blade,sim_scalpel_blade_002,sim_scalpel_blade_002_p002,1,ONE,1790365458.545,625.625,60.0495,13.8562,4.3338,6.9615,4.7495,5.802,1.2068,409.0467,0.8464
scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p002\rgb_00.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p002\depth_00.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p002\mask.png,scalpel_blade,sim_scalpel_blade_003,sim_scalpel_blade_003_p002,0,ONE,1790365458.841,624.0,58.7443,11.8032,4.977,7.265,4.8816,5.8328,1.001,404.2593,0.8576
scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p002\rgb_01.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p002\depth_01.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p002\mask.png,scalpel_blade,sim_scalpel_blade_003,sim_scalpel_blade_003_p002,1,ONE,1790365459.06,624.5625,58.2037,11.8626,4.9065,6.7945,4.876,5.7887,1.0025,404.097,0.8568
lancet\sim_lancet_000\sim_lancet_000_p002\rgb_00.png,lancet\sim_lancet_000\sim_lancet_000_p002\depth_00.png,lancet\sim_lancet_000\sim_lancet_000_p002\mask.png,lancet,sim_lancet_000,sim_lancet_000_p002,0,ONE,1790365459.36,207.0625,28.3133,8.0742,3.5067,6.1642,3.9297,4.8109,0.7956,803.3868,0.0006
lancet\sim_lancet_000\sim_lancet_000_p002\rgb_01.png,lancet\sim_lancet_000\sim_lancet_000_p002\depth_01.png,lancet\sim_lancet_000\sim_lancet_000_p002\mask.png,lancet,sim_lancet_000,sim_lancet_000_p002,1,ONE,1790365459.581,206.25,28.3133,7.345,3.8548,6.3588,3.9304,4.8317,0.7932,800.5725,0.0018
lancet\sim_lancet_001\sim_lancet_001_p002\rgb_00.png,lancet\sim_lancet_001\sim_lancet_001_p002\depth_00.png,lancet\sim_lancet_001\sim_lancet_001_p002\mask.png,lancet,sim_lancet_001,sim_lancet_001_p002,0,ONE,1790365459.884,206.5625,28.389,7.8931,3.5967,6.1532,3.9245,4.8208,0.8053,799.6122,0.0012
lancet\sim_lancet_001\sim_lancet_001_p002\rgb_01.png,lancet\sim_lancet_001\sim_lancet_001_p002\depth_01.png,lancet\sim_lancet_001\sim_lancet_001_p002\mask.png,lancet,sim_lancet_001,sim_lancet_001_p002,1,ONE,1790365460.114,206.6875,29.177,7.3739,3.9568,6.3224,3.921,4.8272,0.8212,797.9173,0.0018
lancet\sim_lancet_002\sim_lancet_002_p002\rgb_00.png,lancet\sim_lancet_002\sim_lancet_002_p002\depth_00.png,lancet\sim_lancet_002\sim_lancet_002_p002\mask.png,lancet,sim_lancet_002,sim_lancet_002_p002,0,ONE,1790365460.417,205.6875,28.6488,8.6891,3.2971,6.3749,3.9115,4.813,0.8333,792.0864,0.0006
lancet\sim_lancet_002\sim_lancet_002_p002\rgb_01.png,lancet\sim_lancet_002\sim_lancet_002_p002\depth_01.png,lancet\sim_lancet_002\sim_lancet_002_p002\mask.png,lancet,sim_lancet_002,sim_lancet_002_p002,1,ONE,1790365460.629,205.5625,29.2914,8.0327,3.6465,6.37,3.929,4.8752,0.8445,793.8963,0.0012
lancet\sim_lancet_003\sim_lancet_003_p002\rgb_00.png,lancet\sim_lancet_003\sim_lancet_003_p002\depth_00.png,lancet\sim_lancet_003\sim_lancet_003_p002\mask.png,lancet,sim_lancet_003,sim_lancet_003_p002,0,ONE,1790365460.926,204.3125,28.3753,7.3006,3.8867,6.8493,3.9143,4.8012,0.7952,788.0037,0.0015
lancet\sim_lancet_003\sim_lancet_003_p002\rgb_01.png,lancet\sim_lancet_003\sim_lancet_003_p002\depth_01.png,lancet\sim_lancet_003\sim_lancet_003_p002\mask.png,lancet,sim_lancet_003,sim_lancet_003_p002,1,ONE,1790365461.144,205.5,28.473,8.0108,3.5543,6.4798,3.9163,4.8037,0.8166,791.58,0.0015
syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p002\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p002\depth_00.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p002\mask.png,syringe_without_needle,sim_syringe_without_needle_000,sim_syringe_without_needle_000_p002,0,ONE,1790365461.441,1088.25,86.1052,14.293,6.0243,15.1192,12.4419,13.7845,1.6838,13390.5889,0.0013
syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p002\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p002\depth_01.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p002\mask.png,syringe_without_needle,sim_syringe_without_needle_000,sim_syringe_without_needle_000_p002,1,ONE,1790365461.653,1089.125,85.116,15.3381,5.5493,15.7689,12.4356,13.7601,1.6756,13379.9463,0.0016
syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p002\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p002\depth_00.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p002\mask.png,syringe_without_needle,sim_syringe_without_needle_001,sim_syringe_without_needle_001_p002,0,ONE,1790365461.947,1097.0,86.1726,14.4949,5.945,15.7041,12.4094,13.756,1.7377,13472.7051,0.0011
syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p002\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p002\depth_01.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p002\mask.png,syringe_without_needle,sim_syringe_without_needle_001,sim_syringe_without_needle_001_p002,1,ONE,1790365462.165,1099.6875,86.528,14.5852,5.9326,15.649,12.4237,13.7765,1.7468,13492.9609,0.0011
syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p002\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p002\depth_00.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p002\mask.png,syringe_without_needle,sim_syringe_without_needle_002,sim_syringe_without_needle_002_p002,0,ONE,1790365462.459,1090.4375,85.5096,14.6341,5.8432,15.4217,12.4204,13.773,1.7409,13405.4648,0.0012
syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p002\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p002\depth_01.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p002\mask.png,syringe_without_needle,sim_syringe_without_needle_002,sim_syringe_without_needle_002_p002,1,ONE,1790365462.671,1092.4375,85.4472,14.34,5.9587,15.7441,12.4086,13.7721,1.7951,13414.4668,0.0009
syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p002\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p002\depth_00.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p002\mask.png,syringe_without_needle,sim_syringe_without_needle_003,sim_syringe_without_needle_003_p002,0,ONE,1790365462.956,1095.75,85.3187,14.274,5.9772,16.1755,12.4216,13.7735,1.7433,13464.2715,0.0015
syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p002\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p002\depth_01.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p002\mask.png,syringe_without_needle,sim_syringe_without_needle_003,sim_syringe_without_needle_003_p002,1,ONE,1790365463.168,1097.8125,86.5389,13.9944,6.1838,15.6736,12.4071,13.7675,1.7816,13465.5674,0.0014
iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p002\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p002\depth_00.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p002\mask.png,iv_set_tubing,sim_iv_set_tubing_000,sim_iv_set_tubing_000_p002,0,ONE,1790365463.434,592.0625,100.4057,13.3188,7.5386,12.489,6.1911,10.407,3.0998,3569.1611,0.0014
iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p002\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p002\depth_01.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p002\mask.png,iv_set_tubing,sim_iv_set_tubing_000,sim_iv_set_tubing_000_p002,1,ONE,1790365463.628,588.0625,100.3705,12.3327,8.1385,12.3914,6.2117,10.4019,3.084,3570.9492,0.0012
iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p002\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p002\depth_00.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p002\mask.png,iv_set_tubing,sim_iv_set_tubing_001,sim_iv_set_tubing_001_p002,0,ONE,1790365463.898,589.3125,100.3798,13.2813,7.558,12.1569,6.2009,10.4035,3.0792,3571.739,0.0018
iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p002\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p002\depth_01.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p002\mask.png,iv_set_tubing,sim_iv_set_tubing_001,sim_iv_set_tubing_001_p002,1,ONE,1790365464.107,588.4375,100.821,12.2587,8.2244,12.1055,6.2288,10.4101,3.071,3581.946,0.0007
iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p002\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p002\depth_00.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p002\mask.png,iv_set_tubing,sim_iv_set_tubing_002,sim_iv_set_tubing_002_p002,0,ONE,1790365464.367,582.125,100.3276,12.252,8.1887,12.2911,6.2031,10.4089,3.1023,3533.8318,0.0018
iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p002\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p002\depth_01.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p002\mask.png,iv_set_tubing,sim_iv_set_tubing_002,sim_iv_set_tubing_002_p002,1,ONE,1790365464.568,580.25,101.5378,12.252,8.2875,12.4866,6.2528,10.4058,3.0691,3538.7217,0.0014
iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p002\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p002\depth_00.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p002\mask.png,iv_set_tubing,sim_iv_set_tubing_003,sim_iv_set_tubing_003_p002,0,ONE,1790365464.838,588.8125,100.9176,12.935,7.8019,12.0474,6.2304,10.4296,3.0998,3579.7458,0.0013
iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p002\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p002\depth_01.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p002\mask.png,iv_set_tubing,sim_iv_set_tubing_003,sim_iv_set_tubing_003_p002,1,ONE,1790365465.041,590.9375,100.1936,12.7765,7.842,12.2039,6.193,10.3887,3.1094,3563.6855,0.0012
catheter\sim_catheter_000\sim_catheter_000_p002\rgb_00.png,catheter\sim_catheter_000\sim_catheter_000_p002\depth_00.png,catheter\sim_catheter_000\sim_catheter_000_p002\mask.png,catheter,sim_catheter_000,sim_catheter_000_p002,0,ONE,1790365465.307,452.5,105.054,12.0868,8.6916,10.2289,4.5565,8.3238,2.5082,2009.4196,0.0015
catheter\sim_catheter_000\sim_catheter_000_p002\rgb_01.png,catheter\sim_catheter_000\sim_catheter_000_p002\depth_01.png,catheter\sim_catheter_000\sim_catheter_000_p002\mask.png,catheter,sim_catheter_000,sim_catheter_000_p002,1,ONE,1790365465.507,451.75,105.2194,12.073,8.7153,10.0977,4.5819,8.3274,2.5015,2017.171,0.0014
catheter\sim_catheter_001\sim_catheter_001_p002\rgb_00.png,catheter\sim_catheter_001\sim_catheter_001_p002\depth_00.png,catheter\sim_catheter_001\sim_catheter_001_p002\mask.png,catheter,sim_catheter_001,sim_catheter_001_p002,0,ONE,1790365465.776,449.5,105.1871,12.098,8.6946,9.9901,4.6043,8.3562,2.5011,2012.9399,0.0017
catheter\sim_catheter_001\sim_catheter_001_p002\rgb_01.png,catheter\sim_catheter_001\sim_catheter_001_p002\depth_01.png,catheter\sim_catheter_001\sim_catheter_001_p002\mask.png,catheter,sim_catheter_001,sim_catheter_001_p002,1,ONE,1790365465.973,446.4375,105.1871,12.098,8.6946,10.1003,4.5985,8.324,2.5017,2004.3835,0.0008
catheter\sim_catheter_002\sim_catheter_002_p002\rgb_00.png,catheter\sim_catheter_002\sim_catheter_002_p002\depth_00.png,catheter\sim_catheter_002\sim_catheter_002_p002\mask.png,catheter,sim_catheter_002,sim_catheter_002_p002,0,ONE,1790365466.239,453.0,105.2636,12.2008,8.6276,10.3179,4.5915,8.3457,2.5083,2028.8678,0.0017
catheter\sim_catheter_002\sim_catheter_002_p002\rgb_01.png,catheter\sim_catheter_002\sim_catheter_002_p002\depth_01.png,catheter\sim_catheter_002\sim_catheter_002_p002\mask.png,catheter,sim_catheter_002,sim_catheter_002_p002,1,ONE,1790365466.446,454.875,106.1337,12.4787,8.5052,10.4466,4.5891,8.3483,2.5138,2034.7122,0.0008
catheter\sim_catheter_003\sim_catheter_003_p002\rgb_00.png,catheter\sim_catheter_003\sim_catheter_003_p002\depth_00.png,catheter\sim_catheter_003\sim_catheter_003_p002\mask.png,catheter,sim_catheter_003,sim_catheter_003_p002,0,ONE,1790365466.706,447.5,105.3218,12.1713,8.6533,10.2637,4.615,8.3391,2.4895,2008.9812,0.0027
catheter\sim_catheter_003\sim_catheter_003_p002\rgb_01.png,catheter\sim_catheter_003\sim_catheter_003_p002\depth_01.png,catheter\sim_catheter_003\sim_catheter_003_p002\mask.png,catheter,sim_catheter_003,sim_catheter_003_p002,1,ONE,1790365466.912,448.1875,105.3602,12.1731,8.6552,10.4416,4.5976,8.3144,2.5012,2007.7188,0.0021
urine_bag\sim_urine_bag_000\sim_urine_bag_000_p001\rgb_00.png,urine_bag\sim_urine_bag_000\sim_urine_bag_000_p001\depth_00.png,urine_bag\sim_urine_bag_000\sim_urine_bag_000_p001\mask.png,urine_bag,sim_urine_bag_000,sim_urine_bag_000_p001,0,ONE,1790365467.173,4250.375,94.4506,56.0212,1.686,7.9067,4.9648,5.8297,0.7128,21005.4219,0.0011
urine_bag\sim_urine_bag_000\sim_urine_bag_000_p001\rgb_01.png,urine_bag\sim_urine_bag_000\sim_urine_bag_000_p001\depth_01.png,urine_bag\sim_urine_bag_000\sim_urine_bag_000_p001\mask.png,urine_bag,sim_urine_bag_000,sim_urine_bag_000_p001,1,ONE,1790365467.385,4253.3125,94.6846,56.284,1.6823,7.7499,4.958,5.8142,0.7215,20993.6445,0.0011
urine_bag\sim_urine_bag_001\sim_urine_bag_001_p000\rgb_00.png,urine_bag\sim_urine_bag_001\sim_urine_bag_001_p000\depth_00.png,urine_bag\sim_urine_bag_001\sim_urine_bag_001_p000\mask.png,urine_bag,sim_urine_bag_001,sim_urine_bag_001_p000,0,ONE,1790365467.645,4245.75,94.4977,55.802,1.6934,8.173,4.9619,5.8215,0.7117,20971.7012,0.001
urine_bag\sim_urine_bag_001\sim_urine_bag_001_p000\rgb_01.png,urine_bag\sim_urine_bag_001\sim_urine_bag_001_p000\depth_01.png,urine_bag\sim_urine_bag_001\sim_urine_bag_001_p000\mask.png,urine_bag,sim_urine_bag_001,sim_urine_bag_001_p000,1,ONE,1790365467.864,4246.4375,94.6631,56.4655,1.6765,7.7692,4.9577,5.8127,0.7095,20953.3906,0.0011
urine_bag\sim_urine_bag_002\sim_urine_bag_002_p000\rgb_00.png,urine_bag\sim_urine_bag_002\sim_urine_bag_002_p000\depth_00.png,urine_bag\sim_urine_bag_002\sim_urine_bag_002_p000\mask.png,urine_bag,sim_urine_bag_002,sim_urine_bag_002_p000,0,ONE,1790365468.121,4249.375,94.2111,56.8444,1.6574,7.9225,4.9591,5.8173,0.7128,20978.6016,0.001
urine_bag\sim_urine_bag_002\sim_urine_bag_002_p000\rgb_01.png,urine_bag\sim_urine_bag_002\sim_urine_bag_002_p000\depth_01.png,urine_bag\sim_urine_bag_002\sim_urine_bag_002_p000\mask.png,urine_bag,sim_urine_bag_002,sim_urine_bag_002_p000,1,ONE,1790365468.324,4248.5625,94.2067,56.2959,1.6734,7.9657,4.9611,5.8128,0.7045,20972.6172,0.0014
urine_bag\sim_urine_bag_003\sim_urine_bag_003_p000\rgb_00.png,urine_bag\sim_urine_bag_003\sim_urine_bag_003_p000\depth_00.png,urine_bag\sim_urine_bag_003\sim_urine_bag_003_p000\mask.png,urine_bag,sim_urine_bag_003,sim_urine_bag_003_p000,0,ONE,1790365468.591,4256.5625,94.6872,57.2576,1.6537,7.7601,4.9545,5.8213,0.7267,20974.0566,0.0014
urine_bag\sim_urine_bag_003\sim_urine_bag_003_p000\rgb_01.png,urine_bag\sim_urine_bag_003\sim_urine_bag_003_p000\depth_01.png,urine_bag\sim_urine_bag_003\sim_urine_bag_003_p000\mask.png,urine_bag,sim_urine_bag_003,sim_urine_bag_003_p000,1,ONE,1790365468.796,4253.625,94.8586,56.7566,1.6713,7.7881,4.9598,5.8212,0.7221,20997.207,0.0011
gloves\sim_gloves_000\sim_gloves_000_p000\rgb_00.png,gloves\sim_gloves_000\sim_gloves_000_p000\depth_00.png,gloves\sim_gloves_000\sim_gloves_000_p000\mask.png,gloves,sim_gloves_000,sim_gloves_000_p000,0,ONE,1790365469.063,3691.375,97.8564,49.1849,1.9896,10.5891,7.4951,8.7169,1.1095,27600.2676,0.0009
gloves\sim_gloves_000\sim_gloves_000_p000\rgb_01.png,gloves\sim_gloves_000\sim_gloves_000_p000\depth_01.png,gloves\sim_gloves_000\sim_gloves_000_p000\mask.png,gloves,sim_gloves_000,sim_gloves_000_p000,1,ONE,1790365469.276,3693.625,97.9593,48.4353,2.0225,10.5978,7.492,8.7226,1.1152,27585.6699,0.0011
